ID,Assigned Technology
111125013109,Sigfox
111125011183,Sigfox
111125003206,Sigfox
111125003134,Sigfox
111125008060,Sigfox
111125009697,Sigfox
111125013247,Sigfox
111125009691,Sigfox
111125007554,Sigfox
111125003280,Sigfox
111125003127,Sigfox
111125011118,Sigfox
111125011502,Sigfox
111125002117,Sigfox
111125012516,Sigfox
111125007016,Sigfox
111125011579,Sigfox
111125009700,Sigfox
111125011724,Sigfox
111125011554,Sigfox
111125012026,Sigfox
111125006814,Sigfox
111125005870,Sigfox
111125006868,Sigfox
111125004482,Sigfox
111125003642,Sigfox
111125010376,Sigfox
111125005464,Sigfox
111125013250,Sigfox
111125002084,Sigfox
111125009693,Sigfox
111125003509,Sigfox
111125004872,Sigfox
111125011568,Sigfox
111125004709,Sigfox
